model,a,b,category_a,category_b,same_category,raw_similarity,model_centered_similarity,category_centered_similarity,group_normalized_similarity,zscore_model_similarity,min_residual_similarity,label
glm4,and_or,get_passive,logical,passive,False,0.9707173451247308,0.8167097293776768,0.06587762534886697,0.9414890723806109,-0.4253963364966109,0.06587762534886697,category_shape_candidate
glm4,causal,get_passive,logical,passive,False,0.9626415542771327,0.8127961050973935,0.061236312538909876,0.8819548813101196,-0.2107412499830874,0.061236312538909876,category_shape_candidate
glm4,dative_passive,morphological_neg,passive,negation,False,0.9602119165850329,0.6438930878922072,-0.10393278587153677,0.8736433388375455,-0.2390423445328965,-0.10393278587153677,category_shape_candidate
glm4,inference,no_agent,logical,passive,False,0.9523398224046647,0.7280407450434714,-3.4231626898352536e-05,0.9804549571874154,0.814343150095147,-3.4231626898352536e-05,category_shape_candidate
glm4,by_phrase,dative_passive,passive,passive,True,0.9426501689466392,0.6204704289311725,-0.17214764477845318,0.9876165837134171,0.7606647504643865,-0.17214764477845318,category_shape_candidate
glm4,and_or,no_agent,logical,passive,False,0.9423283951967827,0.6788230036519475,-0.12710342146211784,0.8879282603943346,0.17700986426905702,-0.12710342146211784,category_shape_candidate
glm4,by_phrase,inference,passive,logical,False,0.9387407039564741,0.49239430304463544,0.087782513077728,0.8852944427669521,-0.26391201134942477,0.087782513077728,category_shape_candidate
glm4,by_phrase,no_agent,passive,passive,True,0.9368388088017335,0.7116237036770411,0.07156427719961973,0.9014325193087684,-0.06170187696678599,0.07156427719961973,category_shape_candidate
glm4,by_phrase,get_passive,passive,passive,True,0.935686840602331,0.5156540995901346,-0.8030635025649945,0.9826147807069511,0.7230427234908381,-0.8030635025649945,category_shape_candidate
glm4,lexical_not_adj,scope_quantifier,negation,negation,True,0.9319068666818004,0.38857366273704297,-0.07099013875777137,0.9632663786470692,0.5990171618999208,-0.07099013875777137,category_shape_candidate
glm4,dative_passive,inference,passive,logical,False,0.9314258854130733,0.4932402558058048,-0.17607642331404424,0.8700883348195952,-0.2079231068634798,-0.17607642331404424,category_shape_candidate
glm4,and_or,dative_passive,logical,passive,False,0.9311034923286275,0.46986745682897113,-0.08444003143327679,0.9447811584372577,-0.419781708010736,-0.08444003143327679,category_shape_candidate
glm4,dative_passive,syntactic_do_not,passive,negation,False,0.9226091805049302,0.42616382458999147,-0.23603462680422577,0.9727095621523147,0.46663547385595205,-0.23603462680422577,category_shape_candidate
glm4,possessive_chain,pp_chain,recursive,recursive,True,0.921333292204798,0.5563386706228596,-0.45955714515042656,0.9883007857172544,0.8004612829010525,-0.45955714515042656,category_shape_candidate
glm4,complement_clause,pp_chain,recursive,recursive,True,0.9206382972419792,0.5477853379563076,-0.4808643926528812,0.9867710260725158,0.23668524749294995,-0.4808643926528812,category_shape_candidate
glm4,contrast,no_agent,logical,passive,False,0.913248660279356,0.6534253117180626,-0.18241529659453992,0.967401020171874,0.8038908013194545,-0.18241529659453992,category_shape_candidate
glm4,lexical_not_adj,never,negation,negation,True,0.9097066172780691,0.21332371830891253,-0.41251121054471435,0.9744951283344483,0.6047938673698326,-0.41251121054471435,category_shape_candidate
glm4,get_passive,no_agent,passive,passive,True,0.905644284388034,0.5187630976854464,-0.346969892856285,0.8818878089524282,-0.26507818044253306,-0.346969892856285,category_shape_candidate
glm4,pp_chain,syntactic_do_not,recursive,negation,False,0.9366963086345194,0.18071691681473842,0.2641834125107576,0.9695595393275577,-0.06752204748686545,0.18071691681473842,model_shape_candidate
glm4,complement_clause,syntactic_do_not,recursive,negation,False,0.914333837897794,-0.24902251596916566,-0.7378857489987836,0.9780899519119096,0.28429799959771535,-0.7378857489987836,model_shape_candidate
glm4,existential_no,lexical_not_adj,negation,negation,True,0.9100432278106547,0.02066245041832832,-0.43079457492652146,0.9612795851545455,0.3573074579190894,-0.43079457492652146,model_shape_candidate
glm4,existential_no,syntactic_do_not,negation,negation,True,0.9071331229545885,-0.5906608376696297,-0.7050358533325617,0.932145008448833,0.03591967196299612,-0.7050358533325617,model_shape_candidate
glm4,possessive_chain,syntactic_do_not,recursive,negation,False,0.906388766965078,-0.2605717451623387,-0.7526741199205016,0.9754841838572451,-0.0945131465779672,-0.7526741199205016,model_shape_candidate
glm4,complement_clause,lexical_not_adj,recursive,negation,False,0.9053354609899092,0.15787559715067695,-0.11467495995308187,0.95820456570401,0.31082714752821694,-0.11467495995308187,model_shape_candidate
glm4,conditional,lexical_not_adj,logical,negation,False,0.9019080876162725,0.0045435201143342535,-0.36043401506924894,0.9076867979818191,-0.6486977308190387,-0.36043401506924894,model_shape_candidate
glm4,lexical_not_adj,possessive_chain,negation,recursive,False,0.9007603725572413,0.14966599469313235,-0.12569072776243329,0.9507127383059669,-0.02155660745608669,-0.12569072776243329,model_shape_candidate
glm4,get_passive,inference,passive,logical,False,0.9737593726098074,0.8385872265856353,0.10746536183594636,0.889261215784986,-0.2345570488885753,0.10746536183594636,ordinary
glm4,contrast,get_passive,logical,passive,False,0.97233003203373,0.8842367999717061,0.2713275925305229,0.8902289769449743,-0.20448023855056813,0.2713275925305229,ordinary
glm4,existential_no,scope_quantifier,negation,negation,True,0.9607146617501209,0.6381523342274817,0.2861101815618953,0.9588650241731826,0.3104093948424154,0.2861101815618953,ordinary
glm4,causal,no_agent,logical,passive,False,0.9497384917782075,0.762991681865016,0.1719310540385277,0.9802179824904933,0.7654938709400491,0.1719310540385277,ordinary
glm4,dative_passive,get_passive,passive,passive,True,0.9480241008098458,0.6528071599604097,0.13015426109908376,0.9878470966635682,0.9038699974833274,0.13015426109908376,ordinary
glm4,relative_clause,syntactic_do_not,recursive,negation,False,0.946422447530073,0.3802175409722139,0.6929027123167515,0.975080320553717,0.5340884520447059,0.3802175409722139,ordinary
glm4,and_or,by_phrase,logical,passive,False,0.9365137970392714,0.48759924606870386,0.19524628941941816,0.9410734320094601,-0.42951834925929394,0.19524628941941816,ordinary
glm4,by_phrase,morphological_neg,passive,negation,False,0.9357944509110564,0.5086624740438643,0.138284360233372,0.8932447889741774,-0.2089780162081756,0.138284360233372,ordinary
glm4,and_or,morphological_neg,logical,negation,False,0.9336218043025754,0.4570198706656914,0.6702839266124033,0.8631688498753971,0.10663647481178577,0.4570198706656914,ordinary
glm4,inference,morphological_neg,logical,negation,False,0.9307133623754117,0.4616929926929938,0.8258301378381037,0.9680636009744826,0.714852123543231,0.4616929926929938,ordinary
glm4,by_phrase,causal,passive,logical,False,0.9295738819827958,0.5598253715876418,0.264856462645575,0.880226067144886,-0.22105521706325498,0.264856462645575,ordinary
