model,a,b,category_a,category_b,same_category,raw_similarity,model_centered_similarity,category_centered_similarity,group_normalized_similarity,zscore_model_similarity,min_residual_similarity,label
deepseek7b,and_or,existential_no,logical,negation,False,0.9941351610147328,0.7787219169084291,0.007448858654629682,0.9321110909617001,-0.05752823647030696,0.007448858654629682,category_shape_candidate
deepseek7b,contrast,morphological_neg,logical,negation,False,0.9704743119532512,0.23030532326023576,-0.29482085772364697,0.9414345159855663,0.13397620404472022,-0.29482085772364697,category_shape_candidate
deepseek7b,causal,morphological_neg,logical,negation,False,0.9701498635638719,0.22833145574425803,-0.2891226977009367,0.9176856671463524,-0.03713500927410672,-0.2891226977009367,category_shape_candidate
deepseek7b,and_or,morphological_neg,logical,negation,False,0.9694360706764957,0.20349246163403065,-0.30974950148322195,0.9078218122740997,-0.0296702426922527,-0.30974950148322195,category_shape_candidate
deepseek7b,conditional,no_agent,logical,passive,False,0.9546539749915043,0.2049806284811373,-0.2914582644994882,0.8782329599310876,0.20112789778911608,-0.2914582644994882,category_shape_candidate
deepseek7b,dative_passive,pp_chain,passive,recursive,False,0.9479403924877658,0.3398012644512782,-0.03488771410090619,0.9518026524225944,0.5433204282729713,-0.03488771410090619,category_shape_candidate
deepseek7b,by_phrase,pp_chain,passive,recursive,False,0.9476245589392213,0.34694893557916495,-0.036953514643892266,0.9798424214905855,0.6079561531885261,-0.036953514643892266,category_shape_candidate
deepseek7b,by_phrase,get_passive,passive,passive,True,0.9811130735853768,0.12137450936021324,-0.10427345367519629,0.9926412389974714,0.6495485527106241,-0.10427345367519629,model_shape_candidate
deepseek7b,by_phrase,possessive_chain,passive,recursive,False,0.9801807783266325,0.08712931286830741,-0.2803090076437283,0.989539059379169,0.6477101356105526,-0.2803090076437283,model_shape_candidate
deepseek7b,dative_passive,get_passive,passive,passive,True,0.9800828119237884,0.0928951204971004,-0.11517578394266118,0.9671229041884158,0.5604891520768012,-0.11517578394266118,model_shape_candidate
deepseek7b,by_phrase,relative_clause,passive,recursive,False,0.9796582840092187,0.07139607296532091,-0.2639422714766054,0.9766862675794973,0.47734251920370324,-0.2639422714766054,model_shape_candidate
deepseek7b,dative_passive,syntactic_do_not,passive,negation,False,0.9791206801447976,0.06147485667882901,0.047386571456904454,0.979545497361449,0.3222199395875335,0.047386571456904454,model_shape_candidate
deepseek7b,and_or,get_passive,logical,passive,False,0.978730706254955,-0.17021705274325147,0.685367869807908,0.9664932462111235,-0.07700943394252896,-0.17021705274325147,model_shape_candidate
deepseek7b,and_or,syntactic_do_not,logical,negation,False,0.9786412525574849,-0.15202946207177132,0.16118008780647491,0.9758274475803353,0.27404374942206217,-0.15202946207177132,model_shape_candidate
deepseek7b,dative_passive,possessive_chain,passive,recursive,False,0.9785847856355706,0.032126116396092454,-0.3113690117150044,0.963480926293843,0.05127713275483111,-0.3113690117150044,model_shape_candidate
deepseek7b,by_phrase,syntactic_do_not,passive,negation,False,0.9784349438768645,0.014162122970084984,-0.04054771597231475,0.9714770061111065,-0.00040149966109784285,-0.04054771597231475,model_shape_candidate
deepseek7b,dative_passive,never,passive,negation,False,0.9784308295230213,0.041516509641325576,0.08398059669983879,0.9641231691441066,-0.054238318882190176,0.041516509641325576,model_shape_candidate
deepseek7b,existential_no,never,negation,negation,True,0.9782917375324165,-0.11122970641262381,-0.6359346309661689,0.9492995723217174,0.2566240070065822,-0.6359346309661689,model_shape_candidate
deepseek7b,dative_passive,scope_quantifier,passive,negation,False,0.9782815395542858,0.03627990748789283,0.050390952954766075,0.9713797311856549,-0.1276547197968506,0.03627990748789283,model_shape_candidate
deepseek7b,dative_passive,relative_clause,passive,recursive,False,0.9782570116357724,0.024792141762233568,-0.2865418982585744,0.9812333915919683,-0.10101392053449287,-0.2865418982585744,model_shape_candidate
deepseek7b,and_or,never,logical,negation,False,0.9781533797790384,-0.16725868750511672,0.1698446114378557,0.9635574156648565,0.15853838655768066,-0.16725868750511672,model_shape_candidate
deepseek7b,and_or,relative_clause,logical,recursive,False,0.9779989774437322,-0.1936308013211892,0.5353721016553444,0.974355242307998,-0.03062683232709371,-0.1936308013211892,model_shape_candidate
deepseek7b,by_phrase,scope_quantifier,passive,negation,False,0.9777894343689774,-0.0012941766964906256,-0.030306484720419937,0.9356249387974568,-0.13585516270251127,-0.030306484720419937,model_shape_candidate
deepseek7b,by_phrase,never,passive,negation,False,0.9775962151540448,-0.011275351496030614,-0.02483495973353257,0.9367642367909069,-0.3107376380397583,-0.02483495973353257,model_shape_candidate
deepseek7b,contrast,never,logical,negation,False,0.9773308431289782,-0.19266804798023576,0.12601703269492648,0.9582517326144794,0.1492210231569769,-0.19266804798023576,model_shape_candidate
deepseek7b,existential_no,scope_quantifier,negation,negation,True,0.9773274634876365,-0.15679168330111948,-0.6820536789165642,0.9180484135459119,0.10182450216011092,-0.6820536789165642,model_shape_candidate
deepseek7b,causal,get_passive,logical,passive,False,0.9773256685359245,-0.22223216527438647,0.7623303980211658,0.9606670727724289,-0.20190024845131782,-0.22223216527438647,model_shape_candidate
deepseek7b,and_or,possessive_chain,logical,recursive,False,0.9772058062625532,-0.24387412860928886,0.49982657240710654,0.9544844536584974,-0.34398502178000484,-0.24387412860928886,model_shape_candidate
